name,phone,phone_e164,website,domain,rating,review_count,full_address,street,city,state,zip_code,neighborhood,categories,latitude,longitude,place_id,kg_mid,hours_text,search_term,search_zip,search_city,search_state
Avantel Plumber of Chicago IL,(312) 265-2745,+13122652745,https://chicagoplumber.avantel.net/,chicagoplumber.avantel.net,4.9,,"Avantel Plumber of Chicago IL, 1000 W Harrison St, Chicago, IL 60607",1000 W Harrison St,Chicago,IL,60607,Near West Side,"Plumber, Drainage service",41.874470599999995,-87.6519201,0x880e2d9ea7a8fe19:0xb12ed8728d28bdb4,/g/11m9shj_y7,,plumber,60608,Chicago,IL
Water Wolves llc,(312) 200-3252,+13122003252,http://waterwolvescorp.com/,waterwolvescorp.com,5.0,,"Water Wolves llc, 480 W 26th St, Chicago, IL 60616",480 W 26th St,Chicago,IL,60616,South Side,"Plumber, Drainage service",41.845686,-87.639809,0x880e2db1ce6bf1fb:0xa6458a361bab25e6,/g/11hh4tcl_8,,plumber,60608,Chicago,IL
Magic Men Service Inc,(312) 597-9678,+13125979678,https://www.magicmenserviceinc.com/,magicmenserviceinc.com,4.9,,"Magic Men Service Inc, 306 S Halsted St, Chicago, IL 60661",306 S Halsted St,Chicago,IL,60661,West Loop,"Plumber, Contractor, Drainage service",41.877609199999995,-87.6475135,0x880e2d65267cee0f:0x203f255abae329bf,/g/11hdxcbq1f,,plumber,60608,Chicago,IL
Plumbers 911 Chicago,(833) 758-6911,+18337586911,https://plumbers911chicago.com/,plumbers911chicago.com,4.6,,"Plumbers 911 Chicago, 1340 W Washington Blvd #201, Chicago, IL 60607",1340 W Washington Blvd #201,Chicago,IL,60607,West Loop,"Plumber, Drainage service, Hot water system supplier",41.883252999999996,-87.66151409999999,0x880e2d26f6a6e547:0x84c831df5e02c675,/g/11cms3sx5k,,plumber,60608,Chicago,IL
Chicago Drain Masters Plumbing 24/7,(464) 245-3033,+14642453033,,,4.9,,"Chicago Drain Masters Plumbing 24/7, 920 S Loomis St, Chicago, IL 60607",920 S Loomis St,Chicago,IL,60607,Near West Side,Plumber,41.8696097,-87.6617835,0x880e2d22cb58b30f:0xd0bc3626070bec79,/g/11qmx6cyvy,,plumber,60608,Chicago,IL
24 Action Plumbing Sewer & Jetting LLC,(773) 457-8444,+17734578444,https://24actionplumbing.com/,24actionplumbing.com,,,"24 Action Plumbing Sewer & Jetting LLC, 2230 S Wood St, Chicago, IL 60608",2230 S Wood St,Chicago,IL,60608,Heart of Chicago,Plumber,41.8512807,-87.67125349999999,0x880e2d5612e3565b:0xd8d2ecf0964bf9b3,/g/11zcnzp8p4,,plumber,60608,Chicago,IL
Perez handyman chicago,(630) 319-9741,+16303199741,,,4.5,,,,,,,,"Plumber, Service establishment, Remodeler",41.833710499999995,-87.73187899999999,0x880e2db27ebf0759:0xfd6827794ccd7133,/g/11mjhl9nmy,,plumber,60608,Chicago,IL
Wells Plumbing and Heating Supplies,(312) 850-1500,+13128501500,https://wellshvacsupply.com/wells-plumbing/,wellshvacsupply.com,4.3,,"Wells Plumbing and Heating Supplies, 916 W 21st St, Chicago, IL 60608",916 W 21st St,Chicago,IL,60608,Pilsen,"Plumbing supply store, Air conditioning store, HVAC contractor",41.854104899999996,-87.6489259,0x880e2db1a01d0225:0x83450052b7677c40,/g/11jvkf_tc_,,plumber,60608,Chicago,IL
Primetime Plumber Chicago IL,(708) 980-0277,+17089800277,,,4.9,,"Primetime Plumber Chicago IL, 3973 S Archer Ave, Chicago, IL 60632",3973 S Archer Ave,Chicago,IL,60632,South Side,Plumber,41.8212306,-87.6919885,0x6b4a078215b11559:0x8f61db0c243c0959,/g/11s3cpbggf,,plumber,60608,Chicago,IL
Sinks-N-Sumps,(312) 500-0911,+13125000911,http://www.sinksnsumps.com/,sinksnsumps.com,5.0,,,,,,,,"Plumber, Service establishment",41.9231919,-87.64594699999999,0x880fd3035b744d6d:0xb98b3ff4d61075d6,/g/11b6lk05jt,,plumber,60608,Chicago,IL
"Blevins Plumbing, Sewer & Drain",(773) 988-6799,+17739886799,http://blevinsplumbing.net/,blevinsplumbing.net,5.0,,,,,,,,"Plumber, Service establishment",41.703293599999995,-87.9357745,0x6ef4d4df31bdebb7:0x9a33142572af3b6a,/g/11w975pj6g,,plumber,60608,Chicago,IL
Frontline Heating & Cooling,(872) 204-7902,+18722047902,https://frontlineheatingcooling.com/,frontlineheatingcooling.com,4.9,,"Frontline Heating & Cooling, 1655 S Blue Island Ave #4074, Chicago, IL 60608",1655 S Blue Island Ave #4074,Chicago,IL,60608,Pilsen,"Plumber, Air conditioning contractor, Air conditioning repair service, Furnace repair service, HVAC contractor",41.858173199999996,-87.6604624,0x880e291e6546c3c3:0xa5fbe41d1d6dd3ec,/g/11q98bvbr9,,plumber,60608,Chicago,IL
"DiFoggio Plumbing Partners, Inc.",(312) 842-1102,+13128421102,http://www.difoggioplumbing.com/,difoggioplumbing.com,4.7,,"DiFoggio Plumbing Partners, Inc., 3241 S Shields Ave, Chicago, IL 60616",3241 S Shields Ave,Chicago,IL,60616,Armour Square,"Plumber, Air conditioning store, Locksmith, Garage door supplier",41.835116899999996,-87.63502249999999,0x880e2c14c5a53a47:0xd714eb526b9e63d2,/g/1tvtby92,,plumber,60608,Chicago,IL
Villanueva Sewer and Plumbing,(773) 656-3794,+17736563794,,,5.0,,,,,,,,"Plumber, Service establishment",41.833710499999995,-87.73187899999999,0x2ff8bf756bbafc6f:0x80de4a2ce25a3214,/g/11qgg65j1n,,plumber,60608,Chicago,IL
Sound Plumbing,(773) 306-9494,+17733069494,http://soundplumbing.com/,soundplumbing.com,4.9,,,,,,,,"Plumber, Service establishment",42.314642,-87.86207499999999,0x880fd2ab59ae2c0f:0x294884f7059354fa,/g/11hy9pg6r8,,plumber,60608,Chicago,IL
